71	Carminda Dias	AM	F
72	Cássia Guerra	MG	F
73	Cássia Queiroz	AM	F
74	Cássio Bettencourt	BA	M
75	Catarina Bairros	PA	F
76	Catarina Montero	PI	F
77	Cauê Cotrim	PE	M
78	Cauê Parahyba	PA	M
79	Cecília Carlos	AP	F
80	Celestino Pereira	RS	M
81	Célia Meireles	CE	F
82	Celina Vale	AL	F
83	Cesário Raminhos	RR	M
84	Cid Pardo	AL	M
85	Cidália Miera	SE	F
86	Cidália Ornelas	RS	F
87	Cláudio Cotegipe	MT	M
88	Cláudio Jorge	TO	M
89	Cláudio Lopes	BA	M
90	Clotilde Carvalhoso	BA	F
91	Clóvis Pamplona	PB	M
92	Constança Alcaide	GO	M
93	Constantino Pedroso	AC	M
94	Corina Dâmaso	CE	F
95	Cosme Ipanema	PI	M
96	Cosme Lira	PR	M
97	Cosme Zambujal	BA	M
98	Crispim Cordero	SC	M
99	Crispim Macena	AP	M
100	Cristiana Campello	RN	F
101	Custódio Gonçalves	DF	M
102	Custódio Rolim	ES	M
103	David Brás	RJ	M
104	David Carvalhais	RJ	M
105	Davide Alcántara	MA	M
106	Davide Fraga	SC	M
107	Deise Farias	AM	F
108	Deise Laureano	PI	F
109	Deise Meneses	DF	F
110	Délia Chousa	PB	F
111	Délio Paranhos	BA	M
112	Deolinda Castelbranco	RO	F
113	Deolinda Castella	RJ	F
114	Derli Lozada	RJ	F
115	Diana Baptista	AM	F
116	Dinarte Mangueira	DF	F
117	Dinarte Marino	MS	F
118	Dinarte Tabalipa	RS	F
119	Dinarte Tabares	RR	F
120	Diodete Carijó	PB	F
121	Diodete Queiroga	GO	F
122	Diogo Simón	BA	M
123	Dionísio Saltão	PR	M
124	Dora Galvão	MT	F
125	Dora Rocha	DF	F
126	Doroteia Quintanilla	RR	F
127	Duarte Sampaio	RJ	M
128	Dulce Prado	AC	F
129	Dulce Tomé	CE	F
130	Eduarda Borba	MA	F
131	Eduarda Madureira	DF	F
132	Eládio Froes	AM	M
133	Eloi Meneses	CE	M
134	Eloi Pereira	PA	M
135	Eloi Vasques	RN	M
136	Elsa Alencar	RJ	F
137	Elsa Barreto	MA	F
138	Elvira Açores	SC	F
139	Ema Nieves	GO	F
140	Emiliana Villalobos	RO	F
141	Epaminondas Sousa de Arronches	MS	M
142	Ermelinda Casquero	AM	F
143	Estefânia Cyrne	RO	F
144	Estela Mattos	PI	F
145	Ester Castanho	AC	F
146	Ester Dantas	SP	F
147	Estêvão Simão	DF	M
148	Eusébio Bairros	SP	M
149	Eusébio Mata	PI	M
150	Eusébio Pacheco	TO	M
151	Eusébio Salomão	AC	M
152	Evaristo Bahía	AC	M
153	Fabiano Bethancout	PB	M
154	Fabrício Varella	AM	M
155	Fabrício Vidal	AL	M
156	Faustino Maranhão	PI	M
157	Fausto Miranda	AP	M
158	Fausto Montenegro	SE	M
159	Feliciana Silvera	AC	F
160	Feliciano Franca	PA	M
161	Felicidade Aldea	SE	F
162	Filipa Mattozo	MA	F
163	Filipe Lamego	AL	M
164	Firmina Carrasco	TO	F
165	Firmino Galván	MA	M
166	Firmino Meireles	AM	M
167	Firmino Puentes	PB	M
168	Flamínia Miera	MT	F
169	Flávia Camacho	BA	F
170	Flávia Campos	RR	F
171	Flor Ginjeira	ES	M
172	Flor Vilanova	CE	M
173	Florêncio Lameiras	PR	M
174	Florêncio Vieira	PA	M
175	Floriano Orriça	AP	M
176	Floriano Siebra	MS	M
177	Florinda Assunção	PI	F
178	Francisca Ramallo	RJ	F
179	Francisca Teodoro	SE	F
180	Francisco Medina	PA	M
181	Galindo Bettencourt	RN	M
182	Garibaldo Oleiro	RO	M
183	Gaudêncio Ipiranga	RR	M
184	Germana Conde	AM	F
185	Gertrudes Hidalgo	PA	F
186	Gertrudes Infante	RS	F
187	Gertrudes Rabello	SC	F
188	Gilberto Moutinho	PB	M
189	Gilda Parente	RR	F
190	Ginéculo Luz	RJ	M
191	Gisela Bahia	SP	F
192	Gisela Candeias	SC	F
193	Gláuber Guedella	RS	M
194	Gláucia Canela	RO	F
195	Godinho ou Godim Fogaça	RN	M
196	Godinho ou Godim Jácome	RN	M
197	Godofredo Mascareñas	SP	M
198	Godofredo Quiroga	BA	M
199	Gomes Hurtado	AC	M
200	Gonçalo Figueiró	PI	M
201	Graça Tabosa	RN	F
202	Greice Lameirinhas	PI	F
203	Guadalupe Rodrigues	SC	F
204	Guadalupe Telinhos	AL	F
205	Guaraci Imbassaí	PB	F
206	Gueda Cartaxo	MS	F
207	Gueda Laureano	BA	F
208	Guida Beiriz	AP	F
209	Guilhermina Hurtado	PA	F
210	Guilhermina Vilaça	BA	F
211	Hedviges Lessa	MG	F
212	Hélder Brión	PB	M
213	Hélder Valentín	AL	M
214	Heloísa Cayubi	MS	F
215	Herberto Castro	MA	M
216	Herberto Pari	BA	M
217	Herculano Viveiros	RN	M
218	Hermano Diegues	ES	M
219	Hermígio Cezar	SP	M
220	Hermígio Villaverde	MA	M
221	Honorina Camarinho	PR	F
222	Honorina Villaverde	PE	F
223	Honório Mafra	RR	M
224	Horácio Pires	MG	M
225	Hugo Covilhã	CE	M
226	Humberto Almeida	AC	M
227	Humberto Lemes	BA	M
228	Humberto Morgado	SP	M
229	Humberto Vergueiro	MG	M
230	Ibijara Botelho	RR	F
231	Ifigénia Lustosa	PE	F
232	Ifigénia Pires	PA	F
233	Ilduara Chávez	MT	F
234	Inês Neres	CE	F
235	Ingrit Mayor	SC	M
236	Iolanda Rabello	PB	F
237	Iracema Rodríguez	BA	F
238	Iraci Alcoforado	MS	F
239	Irani Jaguariúna	AM	F
240	Irene Meireles	MS	F
241	Irene Villanueva	AC	F
242	Isabel Meirelles	RO	F
243	Israel Canela	RN	M
244	Iuri Guterres	GO	M
245	Jacinto Dorneles	MG	M
246	Jandaíra Albuquerque	SP	F
247	Joana Ataí	GO	F
248	Joaquim Hurtado	AP	M
249	Joaquim Mieiro	TO	M
250	Joaquina Vasconcelos	SC	F
\.


